destiny,todo,todo_lagi,rating,reviewers,link
Ubud,Spa & Kebugaran (302),Tejas Spa Jembawan,"5,0 dari 5 lingkaran",214 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d15067375-Reviews-Tejas_Spa_Jembawan-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Jembawan Spa,"5,0 dari 5 lingkaran",359 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d14774100-Reviews-Jembawan_Spa-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Ubud Traditional Spa,"5,0 dari 5 lingkaran",1.309 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d8046149-Reviews-Ubud_Traditional_Spa-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Ubud Pilates,"5,0 dari 5 lingkaran",90 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g2209545-d3812821-Reviews-Ubud_Pilates-Sayan_Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),DaLa Spa,"5,0 dari 5 lingkaran",496 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d3683114-Reviews-DaLa_Spa-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Tejas Spa Arya,"5,0 dari 5 lingkaran",81 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d15559452-Reviews-Tejas_Spa_Arya-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Spa Karsa,"5,0 dari 5 lingkaran",2.391 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d4770487-Reviews-Karsa_Spa-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Tempat pengobatan Taksu Healing Haven,"5,0 dari 5 lingkaran",270 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d4211335-Reviews-Taksu_Healing_Haven-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Juwuk Manis Relaxing,"5,0 dari 5 lingkaran",491 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d6522768-Reviews-Juwuk_Manis_Relaxing-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Putri Bali Spa,,1.327 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d2314059-Reviews-Putri_Bali_Spa-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Jaens Spa Shanti,"5,0 dari 5 lingkaran",422 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d7891734-Reviews-Jaens_Spa_Shanti-Ubud_Gianyar_Regency_Bali.html
Ubud,Spa & Kebugaran (302),Putri Ubud Spa 2,"5,0 dari 5 lingkaran",761 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d7211414-Reviews-Putri_Ubud_Spa_2-Ubud_Gianyar_Regency_Bali.html
