,Travel Destination,Hotel Link,Hotel Best Deal,Flight Link,Flight Best Deal
79,Rantepao,https://www.tripadvisor.co.id/Hotels-g317108-Rantepao_South_Sulawesi_Sulawesi-Hotels.html,Rp 352.934,https://www.tripadvisor.co.id/Flights-g317108-Rantepao_South_Sulawesi_Sulawesi-Cheap_Discount_Airfares.html,
80,Samarinda,https://www.tripadvisor.co.id/Hotels-g317102-Samarinda_East_Kalimantan_Kalimantan-Hotels.html,Rp 370.248,https://www.tripadvisor.co.id/Flights-g317102-Samarinda_East_Kalimantan_Kalimantan-Cheap_Discount_Airfares.html,
81,Pontianak,https://www.tripadvisor.co.id/Hotels-g317101-Pontianak_West_Kalimantan_Kalimantan-Hotels.html,Rp 342.942,https://www.tripadvisor.co.id/Flights-g317101-Pontianak_West_Kalimantan_Kalimantan-Cheap_Discount_Airfares.html,Rp 1.741.300
82,Parapat,https://www.tripadvisor.co.id/Hotels-g297727-Parapat_North_Sumatra_Sumatra-Hotels.html,Rp 546.694,https://www.tripadvisor.co.id/Flights-g297727-Parapat_North_Sumatra_Sumatra-Cheap_Discount_Airfares.html,Rp 1.326.900
83,Sumatra,https://www.tripadvisor.co.id/Hotels-g294231-Sumatra-Hotels.html,Rp 227.273,https://www.tripadvisor.co.id/Flights-g294231-Sumatra-Cheap_Discount_Airfares.html,Rp 1.075.230
84,Singaraja,https://www.tripadvisor.co.id/Hotels-g297699-Singaraja_Buleleng_District_Buleleng_Regency_Bali-Hotels.html,Rp 1.995.000,https://www.tripadvisor.co.id/Flights-g297699-Singaraja_Buleleng_District_Buleleng_Regency_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
85,Banjarmasin,https://www.tripadvisor.co.id/Hotels-g303950-Banjarmasin_South_Kalimantan_Kalimantan-Hotels.html,Rp 557.851,https://www.tripadvisor.co.id/Flights-g303950-Banjarmasin_South_Kalimantan_Kalimantan-Cheap_Discount_Airfares.html,Rp 1.154.200
86,Kintamani,https://www.tripadvisor.co.id/Hotels-g303952-Kintamani_Bangli_Bali-Hotels.html,Rp 400.000,https://www.tripadvisor.co.id/Flights-g303952-Kintamani_Bangli_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
87,Tegal,https://www.tripadvisor.co.id/Hotels-g790289-Tegal_Central_Java_Java-Hotels.html,Rp 393.813,https://www.tripadvisor.co.id/Flights-g790289-Tegal_Central_Java_Java-Cheap_Discount_Airfares.html,
88,Salatiga,https://www.tripadvisor.co.id/Hotels-g1012818-Salatiga_Central_Java_Java-Hotels.html,Rp 389.463,https://www.tripadvisor.co.id/Flights-g1012818-Salatiga_Central_Java_Java-Cheap_Discount_Airfares.html,
